BSSIDLabel,RSSLabel,SSIDLabel,finLabel
fc:d7:33:bc:81:0e,-89,1604,7
60:0b:03:0e:2b:b0,-83,HUST_WIRELESS,7
00:87:46:20:fb:02,-91,360WiFi-FB02,7
aa:69:6c:07:90:fd,-88,HUST_WIRELESS_AUTO,7
6a:69:6c:05:c3:07,-89,HUST_WIRELESS,7
0e:69:6c:0a:be:fa,-84,HUST_WIRELESS_AUTO,7
4a:cf:5e:50:5f:67,-87,ACynthia_GY,7
b0:d5:9d:8c:2d:b1,-91,360免费WiFi-B1,7
b0:d5:9d:92:64:90,-92,315,7
4a:69:6c:07:96:57,-93,HUST_WIRELESS_AUTO,7
06:69:6c:0a:be:fa,-84,HUST_WIRELESS,7
aa:69:6c:05:c4:5b,-95,HUST_WIRELESS,7
0e:69:6c:0b:21:d2,-82,HUST_WIRELESS_AUTO,7
60:0b:03:09:08:31,-84,HUST_WIRELESS_AUTO,7
6a:69:6c:05:c3:09,-88,HUST_WIRELESS_AUTO,7
06:69:6c:0a:bf:02,-51,HUST_WIRELESS,8
20:76:93:3a:ae:78,-73,HC5761,8
4a:69:6c:07:a1:e7,-65,HUST_WIRELESS_AUTO,8
2a:69:6c:05:c5:25,-71,HUST_WIRELESS_AUTO,8
00:0f:e2:db:26:20,-66,ChinaNet,8
4a:69:6c:07:a1:e5,-66,HUST_WIRELESS,8
2a:69:6c:05:c5:23,-70,HUST_WIRELESS,8
0e:69:6c:0a:bf:06,-63,HUST_WIRELESS_AUTO,8
06:69:6c:0a:bf:06,-63,HUST_WIRELESS,8
24:05:0f:9b:e7:63,-78,zqxll2003,8
7a:69:6c:07:96:78,-91,HUST_WIRELESS,8
88:25:93:58:06:63,-88,TP-LINK_580663,8
4a:cf:5e:50:5f:67,-85,ACynthia_GY,8
7a:69:6c:07:96:7a,-93,HUST_WIRELESS_AUTO,8
0e:69:6c:0a:bf:02,-51,HUST_WIRELESS_AUTO,8
42:49:0f:06:46:77,-83,DIRECT-77-HP M427 LaserJet,8
00:87:46:20:fb:02,-91,360WiFi-FB02,8
b0:d5:9d:8c:2d:b1,-86,360免费WiFi-B1,8
6a:69:6c:05:c3:09,-87,HUST_WIRELESS_AUTO,8
f8:da:0c:73:0f:e7,-79,yang,8
60:0b:03:0e:2b:b1,-86,HUST_WIRELESS_AUTO,8
0e:69:6c:0b:22:8a,-88,HUST_WIRELESS_AUTO,8
7c:d1:c3:76:79:fa,-93,ADESKTOP-ELSA6EU,8
60:0b:03:0e:2b:b0,-85,HUST_WIRELESS,8
06:69:6c:0b:22:8a,-88,HUST_WIRELESS,8
a8:57:4e:4d:5f:40,-79,511,8
0e:69:6c:0a:be:fa,-76,HUST_WIRELESS_AUTO,8
06:69:6c:0a:be:fa,-76,HUST_WIRELESS,8
0e:69:6c:0b:1f:1e,-90,HUST_WIRELESS_AUTO,8
aa:69:6c:07:90:fb,-90,HUST_WIRELESS,8
fa:69:6c:07:93:20,-91,HUST_WIRELESS,8
4c:e6:76:c9:fc:00,-85,HongboJiangOffice,8
fc:d7:33:bc:81:0e,-92,1604,8
00:0f:e2:98:15:10,-91,ChinaNet,8
06:69:6c:0a:bf:02,-54,HUST_WIRELESS,9
4a:69:6c:07:a1:e7,-59,HUST_WIRELESS_AUTO,9
2a:69:6c:05:c5:25,-76,HUST_WIRELESS_AUTO,9
00:0f:e2:db:26:20,-71,ChinaNet,9
4a:69:6c:07:a1:e5,-59,HUST_WIRELESS,9
2a:69:6c:05:c5:23,-77,HUST_WIRELESS,9
0e:69:6c:0a:bf:06,-65,HUST_WIRELESS_AUTO,9
06:69:6c:0a:bf:06,-65,HUST_WIRELESS,9
08:57:00:7b:63:16,-71,TL-WTR9500,9
42:49:0f:06:46:77,-78,DIRECT-77-HP M427 LaserJet,9
24:05:0f:9b:e7:63,-76,zqxll2003,9
20:76:93:3a:ae:78,-65,HC5761,9
88:25:93:58:06:63,-84,TP-LINK_580663,9
60:0b:03:0e:2b:b1,-82,HUST_WIRELESS_AUTO,9
b0:d5:9d:92:64:90,-89,315,9
60:0b:03:0e:2b:b0,-83,HUST_WIRELESS,9
fa:69:6c:07:93:20,-90,HUST_WIRELESS,9
da:69:6c:07:8e:9e,-90,HUST_WIRELESS,9
4c:e6:76:c9:fc:00,-84,HongboJiangOffice,9
0e:69:6c:0a:be:fa,-85,HUST_WIRELESS_AUTO,9
ea:69:6c:07:91:f1,-89,HUST_WIRELESS_AUTO,9
46:27:1e:27:cc:05,-93,360免费WiFi-N7,9
06:69:6c:0a:be:fa,-85,HUST_WIRELESS,9
0e:69:6c:0b:22:8a,-87,HUST_WIRELESS_AUTO,9
fa:69:6c:07:93:22,-89,HUST_WIRELESS_AUTO,9
06:69:6c:0b:22:8a,-87,HUST_WIRELESS,9
ea:69:6c:07:91:ff,-89,HUST_WIRELESS,9
0e:69:6c:0a:bf:02,-54,HUST_WIRELESS_AUTO,9
f8:da:0c:73:0f:e7,-73,yang,9
4a:cf:5e:50:5f:67,-88,ACynthia_GY,9
7a:69:6c:07:96:7a,-88,HUST_WIRELESS_AUTO,9
00:87:46:20:fb:02,-91,360WiFi-FB02,9
02:c2:c6:c4:41:d1,-79,DIRECT-sKHD-MIBOOKmsHD,9
4a:69:6c:07:96:55,-95,HUST_WIRELESS,9
94:53:30:11:ac:12,-83,HP-Print-12-LaserJet Pro MFP,9
06:69:6c:0a:bf:02,-44,HUST_WIRELESS,10
4a:69:6c:07:a1:e7,-61,HUST_WIRELESS_AUTO,10
2a:69:6c:05:c5:25,-61,HUST_WIRELESS_AUTO,10
00:0f:e2:db:26:20,-66,ChinaNet,10
4a:69:6c:07:a1:e5,-61,HUST_WIRELESS,10
2a:69:6c:05:c5:23,-63,HUST_WIRELESS,10
06:69:6c:0a:bf:06,-56,HUST_WIRELESS,10
08:57:00:7b:63:16,-83,TL-WTR9500,10
24:05:0f:9b:e7:63,-74,zqxll2003,10
20:76:93:3a:ae:78,-79,HC5761,10
88:25:93:58:06:63,-80,TP-LINK_580663,10
0e:69:6c:0a:bf:06,-56,HUST_WIRELESS_AUTO,10
4a:cf:5e:50:5f:67,-83,ACynthia_GY,10
a8:57:4e:4d:5f:40,-83,511,10
94:53:30:11:ac:12,-81,HP-Print-12-LaserJet Pro MFP,10
4c:e6:76:c9:fc:00,-82,HongboJiangOffice,10
7a:69:6c:07:96:78,-83,HUST_WIRELESS,10
06:69:6c:0b:22:8a,-86,HUST_WIRELESS,10
aa:69:6c:07:90:fb,-91,HUST_WIRELESS,10
0e:69:6c:0a:bf:02,-44,HUST_WIRELESS_AUTO,10
7a:69:6c:07:96:7a,-82,HUST_WIRELESS_AUTO,10
42:49:0f:06:46:77,-82,DIRECT-77-HP M427 LaserJet,10
b0:d5:9d:8c:2d:b1,-87,360免费WiFi-B1,10
fa:69:6c:07:93:20,-89,HUST_WIRELESS,10
fa:69:6c:07:93:22,-88,HUST_WIRELESS_AUTO,10
f8:da:0c:73:0f:e7,-78,yang,10
0e:69:6c:0a:be:fa,-79,HUST_WIRELESS_AUTO,10
60:0b:03:09:08:31,-83,HUST_WIRELESS_AUTO,10
4a:69:6c:07:85:77,-91,HUST_WIRELESS_AUTO,10
46:27:1e:27:cc:05,-93,360免费WiFi-N7,10
06:69:6c:0a:be:fa,-79,HUST_WIRELESS,10
60:0b:03:09:08:30,-83,HUST_WIRELESS,10
00:0f:e2:98:15:10,-90,ChinaNet,10
4a:69:6c:07:85:75,-93,HUST_WIRELESS,10
06:69:6c:0a:bf:02,-61,HUST_WIRELESS,11
20:76:93:3a:ae:78,-69,HC5761,11
4a:69:6c:07:a1:e7,-63,HUST_WIRELESS_AUTO,11
2a:69:6c:05:c5:25,-65,HUST_WIRELESS_AUTO,11
24:05:0f:9b:e7:63,-67,zqxll2003,11
00:0f:e2:db:26:20,-69,ChinaNet,11
4a:69:6c:07:a1:e5,-63,HUST_WIRELESS,11
2a:69:6c:05:c5:23,-66,HUST_WIRELESS,11
0e:69:6c:0a:bf:02,-62,HUST_WIRELESS_AUTO,11
0e:69:6c:0a:bf:06,-75,HUST_WIRELESS_AUTO,11
06:69:6c:0a:bf:06,-75,HUST_WIRELESS,11
88:25:93:58:06:63,-84,TP-LINK_580663,11
42:49:0f:06:46:77,-87,DIRECT-77-HP M427 LaserJet,11
06:69:6c:0a:be:fa,-83,HUST_WIRELESS,11
f8:da:0c:73:0f:e7,-60,yang,11
00:87:46:20:fb:02,-91,360WiFi-FB02,11
0e:69:6c:0a:be:fa,-84,HUST_WIRELESS_AUTO,11
6a:69:6c:05:c3:09,-86,HUST_WIRELESS_AUTO,11
6a:69:6c:05:c3:07,-86,HUST_WIRELESS,11
08:57:00:7b:63:16,-87,TL-WTR9500,11
0e:69:6c:0b:21:d2,-88,HUST_WIRELESS_AUTO,11
7a:69:6c:07:96:7a,-91,HUST_WIRELESS_AUTO,11
aa:69:6c:07:90:fd,-93,HUST_WIRELESS_AUTO,11
06:69:6c:0b:21:d2,-88,HUST_WIRELESS,11
7a:69:6c:07:96:78,-91,HUST_WIRELESS,11
02:c2:c6:c4:41:d1,-86,DIRECT-sKHD-MIBOOKmsHD,11
06:69:6c:0a:bf:02,-52,HUST_WIRELESS,12
20:76:93:3a:ae:78,-76,HC5761,12
4a:69:6c:07:a1:e7,-65,HUST_WIRELESS_AUTO,12
2a:69:6c:05:c5:25,-74,HUST_WIRELESS_AUTO,12
24:05:0f:9b:e7:63,-71,zqxll2003,12
00:0f:e2:db:26:20,-71,ChinaNet,12
4a:69:6c:07:a1:e5,-65,HUST_WIRELESS,12
2a:69:6c:05:c5:23,-74,HUST_WIRELESS,12
08:57:00:7b:63:16,-82,TL-WTR9500,12
0e:69:6c:0a:bf:02,-52,HUST_WIRELESS_AUTO,12
f8:da:0c:73:0f:e7,-71,yang,12
0e:69:6c:0a:bf:06,-72,HUST_WIRELESS_AUTO,12
06:69:6c:0a:bf:06,-72,HUST_WIRELESS,12
88:25:93:58:06:63,-86,TP-LINK_580663,12
42:49:0f:06:46:77,-86,DIRECT-77-HP M427 LaserJet,12
00:0f:e2:98:15:10,-87,ChinaNet,12
4a:cf:5e:50:5f:67,-88,ACynthia_GY,12
60:0b:03:09:08:31,-82,HUST_WIRELESS_AUTO,12
06:69:6c:0a:be:fa,-86,HUST_WIRELESS,12
94:53:30:11:ac:12,-73,HP-Print-12-LaserJet Pro MFP,12
60:0b:03:09:08:30,-82,HUST_WIRELESS,12
00:0f:e2:98:14:20,-94,ChinaNet,12
02:c2:c6:c4:41:d1,-89,DIRECT-sKHD-MIBOOKmsHD,12
a8:57:4e:4d:5f:40,-87,511,12
06:69:6c:0a:bf:02,-51,HUST_WIRELESS,13
20:76:93:3a:ae:78,-65,HC5761,13
4a:69:6c:07:a1:e7,-63,HUST_WIRELESS_AUTO,13
2a:69:6c:05:c5:25,-67,HUST_WIRELESS_AUTO,13
24:05:0f:9b:e7:63,-77,zqxll2003,13
88:25:93:58:06:63,-84,TP-LINK_580663,13
00:0f:e2:db:26:20,-61,ChinaNet,13
4a:69:6c:07:a1:e5,-63,HUST_WIRELESS,13
2a:69:6c:05:c5:23,-67,HUST_WIRELESS,13
08:57:00:7b:63:16,-83,TL-WTR9500,13
42:49:0f:06:46:77,-89,DIRECT-77-HP M427 LaserJet,13
0e:69:6c:0a:bf:02,-50,HUST_WIRELESS_AUTO,13
f8:da:0c:73:0f:e7,-66,yang,13
0e:69:6c:0a:bf:06,-64,HUST_WIRELESS_AUTO,13
b0:d5:9d:8c:2d:b1,-90,360免费WiFi-B1,13
06:69:6c:0a:bf:06,-64,HUST_WIRELESS,13
7a:69:6c:07:96:78,-89,HUST_WIRELESS,13
06:69:6c:0a:be:fa,-83,HUST_WIRELESS,13
94:53:30:11:ac:12,-81,HP-Print-12-LaserJet Pro MFP,13
a8:57:4e:4d:5f:40,-84,511,13
0e:69:6c:0a:be:fa,-83,HUST_WIRELESS_AUTO,13
4a:cf:5e:50:5f:67,-93,ACynthia_GY,13
aa:69:6c:05:c4:5d,-93,HUST_WIRELESS_AUTO,13
4a:69:6c:07:96:55,-93,HUST_WIRELESS,13
02:c2:c6:c4:41:d1,-87,DIRECT-sKHD-MIBOOKmsHD,13
4c:e6:76:c9:fc:00,-87,HongboJiangOffice,13
da:69:6c:07:8e:90,-93,HUST_WIRELESS_AUTO,13
da:69:6c:07:8e:9e,-94,HUST_WIRELESS,13
7a:69:6c:07:96:7a,-88,HUST_WIRELESS_AUTO,13
6a:69:6c:05:c3:09,-90,HUST_WIRELESS_AUTO,13
6a:69:6c:05:c3:07,-90,HUST_WIRELESS,13
0e:69:6c:0b:21:d2,-87,HUST_WIRELESS_AUTO,13
00:87:46:20:fb:02,-91,360WiFi-FB02,13
aa:69:6c:07:90:fd,-92,HUST_WIRELESS_AUTO,13
4a:69:6c:07:96:57,-93,HUST_WIRELESS_AUTO,13
06:69:6c:0a:bf:02,-66,HUST_WIRELESS,14
4a:69:6c:07:a1:e7,-64,HUST_WIRELESS_AUTO,14
2a:69:6c:05:c5:25,-71,HUST_WIRELESS_AUTO,14
00:0f:e2:db:26:20,-73,ChinaNet,14
4a:69:6c:07:a1:e5,-64,HUST_WIRELESS,14
2a:69:6c:05:c5:23,-71,HUST_WIRELESS,14
06:69:6c:0a:bf:06,-76,HUST_WIRELESS,14
08:57:00:7b:63:16,-78,TL-WTR9500,14
24:05:0f:9b:e7:63,-79,zqxll2003,14
20:76:93:3a:ae:78,-73,HC5761,14
0e:69:6c:0a:bf:06,-76,HUST_WIRELESS_AUTO,14
0e:69:6c:0a:bf:02,-66,HUST_WIRELESS_AUTO,14
4c:e6:76:c9:fc:00,-90,HongboJiangOffice,14
42:49:0f:06:46:77,-79,DIRECT-77-HP M427 LaserJet,14
f8:da:0c:73:0f:e7,-84,yang,14
4a:cf:5e:50:5f:67,-86,ACynthia_GY,14
6a:69:6c:05:c3:09,-86,HUST_WIRELESS_AUTO,14
88:25:93:58:06:63,-82,TP-LINK_580663,14
b0:d5:9d:92:64:90,-89,315,14
0e:69:6c:0b:21:d2,-86,HUST_WIRELESS_AUTO,14
74:25:8a:44:f1:f1,-91,HUST_WIRELESS_AUTO,14
06:69:6c:0b:21:d2,-85,HUST_WIRELESS,14
